"Date","Value"
"07/15/1971",3.445
"07/16/1971",3.4925
"07/19/1971",3.5
"07/20/1971",3.4425
"07/21/1971",3.4625
"07/22/1971",3.485
"07/23/1971",3.4075
"07/26/1971",3.3775
"07/27/1971",3.37
"07/28/1971",3.3325
"07/29/1971",3.3025
"07/30/1971",3.315
"08/02/1971",3.335
"08/03/1971",3.36
"08/04/1971",3.2975
"08/05/1971",3.26
"08/06/1971",3.2825
"08/09/1971",3.3075
"08/10/1971",3.3075
"08/11/1971",3.36
"08/12/1971",3.305
"08/13/1971",3.285
"08/16/1971",3.305
"08/17/1971",3.3775
"08/18/1971",3.385
"08/19/1971",3.3075
"08/20/1971",3.31
"08/23/1971",3.2975
"08/24/1971",3.2975
"08/25/1971",3.2975
"08/26/1971",3.2
"08/27/1971",3.205
"08/30/1971",3.1675
"08/31/1971",3.155
"09/01/1971",3.2137
"09/02/1971",3.2325
"09/03/1971",3.2525
"09/07/1971",3.27
"09/08/1971",3.215
"09/09/1971",3.2075
"09/10/1971",3.195
"09/13/1971",3.14
"09/14/1971",3.13
"09/15/1971",3.0875
"09/16/1971",3.075
"09/17/1971",3.045
"09/20/1971",3.0425
"09/21/1971",3.0425
"09/22/1971",3.06
"09/23/1971",3.0375
"09/24/1971",3.065
"09/27/1971",3.0875
"09/28/1971",3.085
"09/29/1971",3.0725
"09/30/1971",3.07
"10/01/1971",3.08
"10/04/1971",3.01
"10/05/1971",3.02
"10/06/1971",3.04
"10/07/1971",3.09
"10/08/1971",3.09
"10/11/1971",3.1075
"10/12/1971",3.1
"10/13/1971",3.15
"10/14/1971",3.1575
"10/15/1971",3.1725
"10/18/1971",3.14
"10/19/1971",3.1775
"10/20/1971",3.155
"10/21/1971",3.185
"10/22/1971",3.1775
"10/25/1971",3.17
"10/26/1971",3.1125
"10/27/1971",3.1125
"10/28/1971",3.1325
"10/29/1971",3.1325
"11/01/1971",3.085
"11/02/1971",3.105
"11/03/1971",3.0775
"11/04/1971",3.0775
"11/05/1971",3.1275
"11/08/1971",3.1125
"11/09/1971",3.1025
"11/10/1971",3.0675
"11/11/1971",3.035
"11/12/1971",2.925
"11/15/1971",2.8725
"11/16/1971",2.925
"11/17/1971",2.935
"11/18/1971",2.935
"11/19/1971",2.9225
"11/22/1971",2.91
"11/23/1971",2.95
"11/24/1971",2.975
"11/26/1971",2.9775
"11/29/1971",2.95
"11/30/1971",2.9625
"12/01/1971",2.995
"12/02/1971",3.0025
"12/03/1971",3.035
"12/06/1971",3.055
"12/07/1971",3.0325
"12/08/1971",3.07
"12/09/1971",3.0625
"12/10/1971",3.0575
"12/13/1971",3.05
"12/14/1971",3.075
"12/15/1971",3.0925
"12/16/1971",3.105
"12/17/1971",3.12
"12/20/1971",3.0925
"12/21/1971",3.0975
"12/22/1971",3.095
"12/23/1971",3.135
"12/27/1971",3.1175
"12/28/1971",3.0925
"12/29/1971",3.0925
"12/30/1971",3.0925
"12/31/1971",3.0925
"01/03/1972",3.0525
"01/04/1972",3.035
"01/05/1972",3.075
"01/06/1972",3.085
"01/07/1972",3.0825
"01/10/1972",3.0575
"01/11/1972",3.065
"01/12/1972",3.02
"01/13/1972",3.015
"01/14/1972",3.02
"01/17/1972",3.1175
"01/18/1972",3.09
"01/19/1972",3.0975
"01/20/1972",3.115
"01/21/1972",3.14
"01/24/1972",3.13
"01/25/1972",3.1575
"01/26/1972",3.13
"01/27/1972",3.145
"01/28/1972",3.0925
"01/31/1972",3.115
"02/01/1972",3.1175
"02/02/1972",3.13
"02/03/1972",3.14
"02/04/1972",3.1525
"02/07/1972",3.145
"02/08/1972",3.1225
"02/09/1972",3.1225
"02/10/1972",3.1275
"02/11/1972",3.1425
"02/14/1972",3.155
"02/15/1972",3.1525
"02/16/1972",3.15
"02/17/1972",3.185
"02/18/1972",3.19
"02/22/1972",3.17
"02/23/1972",3.22
"02/24/1972",3.245
"02/25/1972",3.265
"02/28/1972",3.2975
"02/29/1972",3.2976
"03/01/1972",3.28
"03/02/1972",3.325
"03/03/1972",3.33
"03/06/1972",3.365
"03/07/1972",3.3375
"03/08/1972",3.41
"03/09/1972",3.42
"03/10/1972",3.41
"03/13/1972",3.4
"03/14/1972",3.3425
"03/15/1972",3.34
"03/16/1972",3.3425
"03/17/1972",3.3825
"03/20/1972",3.3925
"03/21/1972",3.3825
"03/22/1972",3.3725
"03/23/1972",3.375
"03/24/1972",3.395
"03/27/1972",3.3875
"03/28/1972",3.4
"03/29/1972",3.39
"03/30/1972",3.39
"04/03/1972",3.375
"04/04/1972",3.455
"04/05/1972",3.47
"04/06/1972",3.5075
"04/07/1972",3.505
"04/10/1972",3.51
"04/11/1972",3.51
"04/12/1972",3.555
"04/13/1972",3.5575
"04/14/1972",3.5362
"04/17/1972",3.5475
"04/18/1972",3.48
"04/19/1972",3.4675
"04/20/1972",3.4925
"04/21/1972",3.5
"04/24/1972",3.49
"04/25/1972",3.53
"04/26/1972",3.4825
"04/27/1972",3.5075
"04/28/1972",3.44
"05/01/1972",3.455
"05/02/1972",3.475
"05/03/1972",3.4675
"05/04/1972",3.47
"05/05/1972",3.49
"05/08/1972",3.51
"05/09/1972",3.4725
"05/10/1972",3.47
"05/11/1972",3.4825
"05/12/1972",3.4825
"05/15/1972",3.4962
"05/16/1972",3.56
"05/17/1972",3.55
"05/18/1972",3.565
"05/19/1972",3.575
"05/22/1972",3.5275
"05/23/1972",3.465
"05/24/1972",3.49
"05/25/1972",3.5125
"05/26/1972",3.4875
"05/30/1972",3.4425
"05/31/1972",3.4725
"06/01/1972",3.485
"06/02/1972",3.4775
"06/05/1972",3.48
"06/06/1972",3.4875
"06/07/1972",3.5275
"06/08/1972",3.5125
"06/09/1972",3.51
"06/12/1972",3.49
"06/13/1972",3.48
"06/14/1972",3.4575
"06/15/1972",3.4475
"06/16/1972",3.49
"06/19/1972",3.455
"06/20/1972",3.43
"06/21/1972",3.45
"06/22/1972",3.425
"06/23/1972",3.425
"06/26/1972",3.415
"06/27/1972",3.455
"06/28/1972",3.445
"06/29/1972",3.47
"06/30/1972",3.485
"07/03/1972",3.5487
"07/05/1972",3.5887
"07/06/1972",3.5562
"07/07/1972",3.5262
"07/10/1972",3.505
"07/11/1972",3.5
"07/12/1972",3.52
"07/13/1972",3.4675
"07/14/1972",3.5025
"07/17/1972",3.4725
"07/18/1972",3.49
"07/19/1972",3.485
"07/20/1972",3.46
"07/21/1972",3.4875
"07/24/1972",3.495
"07/25/1972",3.475
"07/26/1972",3.5025
"07/27/1972",3.5225
"07/28/1972",3.545
"07/31/1972",3.5275
"08/01/1972",3.52
"08/02/1972",3.53
"08/03/1972",3.5525
"08/04/1972",3.615
"08/07/1972",3.625
"08/08/1972",3.6775
"08/09/1972",3.635
"08/10/1972",3.6025
"08/11/1972",3.6275
"08/14/1972",3.62
"08/15/1972",3.555
"08/16/1972",3.5674
"08/17/1972",3.5825
"08/18/1972",3.615
"08/21/1972",3.56
"08/22/1972",3.535
"08/23/1972",3.545
"08/24/1972",3.5
"08/25/1972",3.5125
"08/28/1972",3.4825
"08/29/1972",3.485
"08/30/1972",3.5
"08/31/1972",3.4575
"09/01/1972",3.495
"09/05/1972",3.5175
"09/06/1972",3.48
"09/07/1972",3.48
"09/08/1972",3.4625
"09/11/1972",3.44
"09/12/1972",3.46
"09/13/1972",3.4075
"09/14/1972",3.465
"09/15/1972",3.5
"09/18/1972",3.5275
"09/19/1972",3.5
"09/20/1972",3.4975
"09/21/1972",3.515
"09/22/1972",3.5025
"09/25/1972",3.55
"09/26/1972",3.5675
"09/27/1972",3.56
"09/28/1972",3.5975
"09/29/1972",3.63
"10/02/1972",3.4425
"10/03/1972",3.3925
"10/04/1972",3.355
"10/05/1972",3.35
"10/06/1972",3.305
"10/09/1972",3.265
"10/10/1972",3.2675
"10/11/1972",3.29
"10/12/1972",3.325
"10/13/1972",3.2725
"10/16/1972",3.2675
"10/17/1972",3.27
"10/18/1972",3.295
"10/19/1972",3.315
"10/20/1972",3.3175
"10/23/1972",3.355
"10/24/1972",3.37
"10/25/1972",3.37
"10/26/1972",3.415
"10/27/1972",3.4375
"10/30/1972",3.5125
"10/31/1972",3.485
"11/01/1972",3.53
"11/02/1972",3.5225
"11/03/1972",3.5075
"11/06/1972",3.455
"11/08/1972",3.5225
"11/09/1972",3.5375
"11/10/1972",3.49
"11/13/1972",3.6075
"11/14/1972",3.7075
"11/15/1972",3.7525
"11/16/1972",3.705
"11/17/1972",3.7575
"11/20/1972",3.67
"11/21/1972",3.7275
"11/22/1972",3.675
"11/24/1972",3.745
"11/27/1972",3.835
"11/28/1972",3.79
"11/29/1972",3.7475
"11/30/1972",3.7475
"12/01/1972",3.8175
"12/04/1972",3.915
"12/05/1972",4.0075
"12/06/1972",3.9675
"12/07/1972",4.0325
"12/08/1972",4.13
"12/11/1972",4.215
"12/12/1972",4.315
"12/13/1972",4.22
"12/14/1972",4.285
"12/15/1972",4.3175
"12/18/1972",4.22
"12/19/1972",4.1175
"12/20/1972",4.16
"12/21/1972",4.26
"12/22/1972",4.16
"12/26/1972",4.0925
"12/27/1972",4.1125
"12/29/1972",4.2125
"01/02/1973",4.2075
"01/03/1973",4.27
"01/04/1973",4.21
"01/05/1973",4.2725
"01/08/1973",4.1975
"01/09/1973",4.245
"01/10/1973",4.345
"01/11/1973",4.3
"01/12/1973",4.32
"01/15/1973",4.395
"01/16/1973",4.495
"01/17/1973",4.56
"01/18/1973",4.595
"01/19/1973",4.365
"01/22/1973",4.675
"01/23/1973",4.65
"01/24/1973",4.6575
"01/26/1973",4.755
"01/29/1973",4.865
"01/30/1973",4.8475
"01/31/1973",4.82
"02/01/1973",4.905
"02/02/1973",5.0025
"02/05/1973",5.1325
"02/06/1973",5.1925
"02/07/1973",5.2925
"02/08/1973",5.395
"02/09/1973",5.4225
"02/12/1973",5.575
"02/13/1973",5.675
"02/14/1973",5.805
"02/15/1973",5.905
"02/16/1973",6.085
"02/20/1973",6.015
"02/21/1973",6.155
"02/22/1973",6.3525
"02/23/1973",6.5525
"02/26/1973",6.7025
"02/27/1973",6.5575
"02/28/1973",6.49
"03/01/1973",6.6425
"03/02/1973",6.65
"03/05/1973",6.58
"03/06/1973",6.73
"03/07/1973",6.9
"03/08/1973",6.8
"03/09/1973",6.775
"03/12/1973",6.63
"03/13/1973",6.38
"03/14/1973",6.23
"03/15/1973",6.43
"03/16/1973",6.23
"03/19/1973",6.08
"03/20/1973",5.93
"03/21/1973",5.88
"03/22/1973",6.09
"03/23/1973",6.04
"03/26/1973",6.045
"03/27/1973",5.8475
"03/28/1973",5.6975
"03/29/1973",5.5475
"03/30/1973",5.44
"04/02/1973",5.6375
"04/03/1973",5.8875
"04/04/1973",6.06
"04/05/1973",6.2375
"04/06/1973",6.195
"04/09/1973",6.345
"04/10/1973",6.3575
"04/11/1973",6.475
"04/12/1973",6.55
"04/13/1973",6.485
"04/16/1973",6.6475
"04/17/1973",6.57
"04/18/1973",6.57
"04/19/1973",6.655
"04/23/1973",6.715
"04/24/1973",6.74
"04/25/1973",6.86
"04/26/1973",6.99
"04/27/1973",7.14
"04/30/1973",7.585
"05/01/1973",7.8425
"05/02/1973",7.745
"05/03/1973",7.8275
"05/04/1973",7.855
"05/07/1973",8.16
"05/08/1973",8.58
"05/09/1973",9.125
"05/10/1973",8.7
"05/11/1973",8.65
"05/14/1973",8.845
"05/15/1973",9.05
"05/16/1973",8.93
"05/17/1973",8.58
"05/18/1973",8.88
"05/21/1973",8.955
"05/22/1973",9.13
