"Date","Value"
"08/28/1963",0.0808
"08/29/1963",0.0809
"08/30/1963",0.0818
"09/03/1963",0.0821
"09/04/1963",0.0813
"09/05/1963",0.0811
"09/06/1963",0.0805
"09/09/1963",0.08
"09/10/1963",0.0804
"09/11/1963",0.0804
"09/12/1963",0.08
"09/13/1963",0.0805
"09/16/1963",0.0815
"09/17/1963",0.086
"09/18/1963",0.0845
"09/19/1963",0.0853
"09/20/1963",0.0893
"09/23/1963",0.0882
"09/24/1963",0.09
"09/25/1963",0.0908
"09/26/1963",0.0915
"09/27/1963",0.0902
"09/30/1963",0.092
"10/01/1963",0.0945
"10/02/1963",0.0942
"10/03/1963",0.094
"10/04/1963",0.0959
"10/07/1963",0.0982
"10/08/1963",0.0976
"10/09/1963",0.0975
"10/10/1963",0.0974
"10/11/1963",0.092
"10/14/1963",0.0915
"10/15/1963",0.0939
"10/16/1963",0.093
"10/17/1963",0.0912
"10/18/1963",0.0916
"10/21/1963",0.0911
"10/22/1963",0.091
"10/23/1963",0.091
"10/24/1963",0.0915
"10/25/1963",0.0948
"10/28/1963",0.0949
"10/29/1963",0.0942
"10/30/1963",0.098
"10/31/1963",0.099
"11/01/1963",0.0988
"11/04/1963",0.0978
"11/05/1963",0.0974
"11/06/1963",0.0979
"11/07/1963",0.1
"11/08/1963",0.1015
"11/11/1963",0.1008
"11/12/1963",0.1015
"11/13/1963",0.1025
"11/14/1963",0.1017
"11/15/1963",0.0987
"11/18/1963",0.0898
"11/19/1963",0.0765
"11/20/1963",0.0805
"11/21/1963",0.0807
"11/22/1963",0.0794
"11/26/1963",0.0817
"11/27/1963",0.0813
"11/29/1963",0.0819
"12/02/1963",0.0823
"12/03/1963",0.0803
"12/04/1963",0.0807
"12/05/1963",0.0801
"12/06/1963",0.0825
"12/09/1963",0.0811
"12/10/1963",0.0814
"12/11/1963",0.0826
"12/12/1963",0.082
"12/13/1963",0.081
"12/16/1963",0.0812
"12/17/1963",0.0812
"12/18/1963",0.0811
"12/19/1963",0.089
"12/20/1963",0.0838
"12/23/1963",0.0829
"12/24/1963",0.0826
"12/26/1963",0.0827
"12/27/1963",0.0833
"12/30/1963",0.0824
"12/31/1963",0.0829
"01/02/1964",0.0827
"01/03/1964",0.083
"01/06/1964",0.0849
"01/07/1964",0.0836
"01/08/1964",0.0833
"01/09/1964",0.0837
"01/10/1964",0.0832
"01/13/1964",0.0828
"01/14/1964",0.0829
"01/15/1964",0.0828
"01/16/1964",0.0826
"01/17/1964",0.0823
"01/20/1964",0.082
"01/21/1964",0.0812
"01/22/1964",0.0811
"01/23/1964",0.081
"01/24/1964",0.0807
"01/27/1964",0.0785
"01/28/1964",0.0794
"01/29/1964",0.0788
"01/30/1964",0.079
"01/31/1964",0.0796
"02/03/1964",0.0795
"02/04/1964",0.079
"02/05/1964",0.0798
"02/06/1964",0.0799
"02/07/1964",0.0802
"02/10/1964",0.0798
"02/11/1964",0.0795
"02/12/1964",0.0794
"02/13/1964",0.0795
"02/14/1964",0.0794
"02/17/1964",0.0787
"02/18/1964",0.0784
"02/19/1964",0.078
"02/20/1964",0.0779
"02/24/1964",0.0775
"02/25/1964",0.0782
"02/26/1964",0.0783
"02/27/1964",0.0785
"02/28/1964",0.079
"03/02/1964",0.0799
"03/03/1964",0.0803
"03/04/1964",0.0798
"03/05/1964",0.0797
"03/06/1964",0.0798
"03/09/1964",0.0796
"03/10/1964",0.0791
"03/11/1964",0.0792
"03/12/1964",0.0803
"03/13/1964",0.0811
"03/16/1964",0.0806
"03/17/1964",0.0804
"03/18/1964",0.08
"03/19/1964",0.0802
"03/20/1964",0.0802
"03/23/1964",0.0797
"03/24/1964",0.0787
"03/25/1964",0.0789
"03/26/1964",0.0781
"03/30/1964",0.0778
"03/31/1964",0.0771
"04/01/1964",0.078
"04/02/1964",0.0774
"04/03/1964",0.0767
"04/06/1964",0.0756
"04/07/1964",0.0761
"04/08/1964",0.0758
"04/09/1964",0.0758
"04/10/1964",0.0761
"04/13/1964",0.0756
"04/14/1964",0.076
"04/15/1964",0.0766
"04/16/1964",0.0776
"04/17/1964",0.0773
"04/20/1964",0.0767
"04/21/1964",0.0769
"04/22/1964",0.0769
"04/23/1964",0.0769
"04/24/1964",0.0772
"04/27/1964",0.078
"04/28/1964",0.0792
"04/29/1964",0.0808
"04/30/1964",0.0803
"05/01/1964",0.0812
"05/04/1964",0.0819
"05/05/1964",0.0817
"05/06/1964",0.082
"05/07/1964",0.0823
"05/08/1964",0.0817
"05/11/1964",0.0806
"05/12/1964",0.0809
"05/13/1964",0.0811
"05/14/1964",0.0817
"05/15/1964",0.0822
"05/18/1964",0.0831
"05/19/1964",0.0833
"05/20/1964",0.0835
"05/21/1964",0.0834
"05/22/1964",0.0828
"05/25/1964",0.0823
"05/26/1964",0.0818
"05/27/1964",0.0818
"05/28/1964",0.0822
"06/01/1964",0.082
"06/02/1964",0.0824
"06/03/1964",0.0823
